iter	Logloss
0	0.657497079
1	0.6290303367
2	0.6007640294
3	0.5789852142
4	0.556356757
5	0.5380642482
6	0.5216086796
7	0.5059441703
8	0.4913783482
9	0.4809500013
10	0.4690129961
11	0.4561438152
12	0.4470412663
13	0.4369852066
14	0.4292589188
15	0.4219145639
16	0.4153582437
17	0.4091870172
18	0.4042223249
19	0.3980390276
20	0.3933830806
21	0.3891529628
22	0.3855109624
23	0.3805351802
24	0.375435039
25	0.3716848646
26	0.3660040992
27	0.3616860526
28	0.3568307059
29	0.350945391
30	0.3464718955
31	0.3403404781
32	0.3369245802
33	0.3344676426
34	0.3307186127
35	0.3278720583
36	0.3257852282
37	0.3216720581
38	0.3194469724
39	0.3163503647
40	0.3119289398
41	0.3079002925
42	0.3057222639
43	0.3035748073
44	0.3008050919
45	0.2970007215
46	0.2942958014
47	0.2919101715
48	0.2895716531
49	0.2856834412
50	0.281438446
51	0.2780841282
52	0.2754587446
53	0.2724094936
54	0.2683005742
55	0.2644796371
56	0.2628673553
57	0.2602985927
58	0.2583343506
59	0.2548666273
60	0.2529204232
61	0.2487913404
62	0.246402904
63	0.2434059961
64	0.2402509962
65	0.2379976545
66	0.2347749983
67	0.23250994
68	0.2291739055
69	0.227347987
70	0.2246395656
71	0.2229435512
72	0.221093423
73	0.2193906239
74	0.2169716563
75	0.2137089048
76	0.211407171
77	0.2092993055
78	0.2074351992
79	0.2051530293
80	0.204323755
81	0.2025585175
82	0.2005688804
83	0.1991671971
84	0.1973494938
85	0.1955679485
86	0.1934573037
87	0.1910268511
88	0.1889666694
89	0.18724823
90	0.1863262858
91	0.1846887725
92	0.1827795574
93	0.1810499736
94	0.1802866527
95	0.1787871497
96	0.176839229
97	0.1752132416
98	0.1728599276
99	0.1711018426
100	0.1694989613
101	0.1675567082
102	0.1652131898
103	0.163656589
104	0.161846883
105	0.1597809655
106	0.1585828236
107	0.1567393712
108	0.1550928388
109	0.15338974
110	0.1524450575
111	0.1513709886
112	0.1489817756
113	0.1479313714
114	0.1465876988
115	0.1452911649
116	0.144351278
117	0.1429404259
118	0.1419748579
119	0.141087859
120	0.1394217764
121	0.1383157866
122	0.1373138428
123	0.1367061343
124	0.135774122
125	0.1342913764
126	0.1332713808
127	0.1320128713
128	0.1310386113
129	0.13029262
130	0.1290858405
131	0.128181621
132	0.1274154391
133	0.1265376227
134	0.1252874374
135	0.1241989
136	0.1229673658
137	0.122057942
138	0.1210299492
139	0.1195061956
140	0.1183089393
141	0.1173054695
142	0.1163727624
143	0.115126242
144	0.1139426504
145	0.1127698149
146	0.1118465696
147	0.1110325473
148	0.1106505462
149	0.10951081
150	0.1081267902
151	0.1071929727
152	0.1066406454
153	0.1058796338
154	0.1050241198
155	0.1042306696
156	0.1036644459
157	0.1025463785
158	0.1021901948
159	0.1013411386
160	0.1007601397
161	0.1000555992
162	0.09942556109
163	0.09861582347
164	0.09769451278
165	0.09669246674
166	0.09614936965
167	0.09531668254
168	0.09469630378
169	0.09366804532
170	0.09280826024
171	0.09238275119
172	0.09185815539
173	0.09150323868
174	0.09078671592
175	0.09014514514
176	0.08989162445
177	0.0892515455
178	0.08841087478
179	0.08820972443
180	0.08751145772
181	0.08695671899
182	0.08630538668
183	0.08596198899
184	0.08537415096
185	0.08475866999
186	0.08441725458
187	0.08358371598
188	0.08318723951
189	0.0826956749
190	0.08218251637
191	0.08144950186
192	0.08065729822
193	0.07984380041
194	0.07934207916
195	0.07908857209
196	0.07870665278
197	0.0781215259
198	0.07759178025
199	0.07726925441
200	0.07694295474
201	0.07652199609
202	0.07584755761
203	0.07541931016
204	0.07514730181
205	0.07474693571
206	0.07415129798
207	0.07386682374
208	0.07357910701
209	0.07313556671
210	0.07268720354
