Category,Metric,Before,After,Change,Outcome
Performance,Accuracy,0.7733333333333333,0.7633333333333333,-0.010000000000000009,Worse
Performance,Balanced Accuracy,0.692063492063492,0.7071428571428571,0.015079365079365026,Improved
Performance,Precision,0.6666666666666666,0.6144578313253012,-0.052208835341365445,Worse
Performance,Recall,0.4888888888888889,0.5666666666666667,0.07777777777777778,Improved
Performance,F1,0.5641025641025641,0.5895953757225434,0.025492811619979294,Improved
Performance,ROC AUC,0.8055555555555555,0.8055555555555555,0.0,Unchanged
Performance,PR AUC,0.670599986330222,0.670599986330222,0.0,Unchanged
Performance,Log Loss,0.4825521749561462,0.4825521749561462,0.0,Unchanged
Performance,Brier Score,0.1580236871788242,0.1580236871788242,0.0,Unchanged
Performance,MCC,0.4249382471675705,0.4243868777696235,-0.0005513693979469769,Worse
Performance,Cohen Kappa,0.4158075601374571,0.4237012987012987,0.007893738563841568,Improved
Performance,Gini,0.6111111111111109,0.6111111111111109,0.0,Unchanged
Performance,KS,0.47777777777777775,0.47777777777777775,0.0,Unchanged
Fairness,Demographic Parity Difference,0.0017660910518053352,0.011381475667189944,0.009615384615384609,Worse
Fairness,Demographic Parity Ratio,0.9920141969831411,0.9594405594405595,-0.03257363754258158,Worse
Fairness,Equal Opportunity Difference,0.01785714285714285,0.034663865546218475,0.016806722689075626,Worse
Fairness,Equalized Odds Difference,0.028571428571428567,0.05714285714285715,0.02857142857142858,Worse
