Group,Count,Accuracy,Precision,Recall,F1,Selection Rate,True Positive Rate,False Positive Rate,False Negative Rate
female,104.0,0.7884615384615384,0.7142857142857143,0.5882352941176471,0.6451612903225806,0.2692307692307692,0.5882352941176471,0.11428571428571428,0.4117647058823529
male,196.0,0.75,0.5636363636363636,0.5535714285714286,0.5585585585585585,0.28061224489795916,0.5535714285714286,0.17142857142857143,0.44642857142857145
