Metric,Difference
Count,92.0
Accuracy,0.033359497645211955
Precision,0.1428571428571429
Recall,0.01680672268907568
F1,0.07373271889400923
Selection Rate,0.01648351648351648
True Positive Rate,0.01680672268907568
False Positive Rate,0.05714285714285715
False Negative Rate,0.016806722689075626
