Metric,Difference
Count,92.0
Accuracy,0.00843799058084771
Precision,0.1112234580384226
Recall,0.01785714285714285
F1,0.05103668261562999
Selection Rate,0.0017660910518053352
True Positive Rate,0.01785714285714285
False Positive Rate,0.028571428571428567
False Negative Rate,0.017857142857142905
